,PMID,text,rating1_validated,rating1,rating2_validated,rating2,rating_consensus,consensus_reason,design_ground_truth,field_ground_truth_1,field_ground_truth_2,field_ground_truth_consensus,field_ground_truth_consensus_reason,setting_ground_truth_1,setting_ground_truth_2,setting_ground_truth_consensus,setting_ground_truth_consensus_reason
0,,,,,,,,,choices = 'Study' or 'Systematic review or meta-analysis',"choices = 'Anticoagulation', 'Cardiology', 'Critical care', 'Emergency medicine', 'Geriatric', 'Infectious diseases', 'Oncology', 'Palliative care', 'Maternal / pediatric / neonatal', 'Psychiatric', 'Solid organ transplantation', 'Other'",,,,"choices = 'Ambulatory', 'Community', 'Inpatient', 'Nursing home', 'Other'",,,
1,34741506,"The utility of Conversation Analysis versus Roter's Interaction Analysis System for studying communication in pharmacy settings: a scoping review. OBJECTIVES To compare the usefulness of the Roter Interaction Analysis System with Conversation Analysis (CA) for studying dynamic patient-pharmacist interactions within pharmacy practice. A scoping review was undertaken to identify all studies using Roter's method or CA to investigate patient-pharmacist interactions. The studies were then compared and contrasted for their methodological advantages and disadvantages. KEY FINDINGS In total, 31 studies met the inclusion criteria. Roter's method is effective in briefly describing patient-pharmacist interactions and can be used to measure the effect of training courses without consuming too much time. CA, although a time-consuming undertaking, looks at very specific features and the sequence of conversations including the dynamics of two-way interactions and can therefore be used to identify the source of conflict or misunderstandings. A flowchart showing the usefulness of both methods is suggested to help other researchers select the appropriate method(s) for their own research. SUMMARY Although both methods are effective for investigating patient-pharmacist interactions independently, using them sequentially could enable researchers to firstly identify how to make improvements (via CA), design relevant training and then investigate the impact of such training (via Roter's method) to enrich communications research.",0,0,0,0,,,,,,,,,,,
2,34741614,"Leveraging the pharmacy executive beyond the pharmacy enterprise: Opportunities for advocacy, senior leadership integration, and strategic positioning.  In an effort to expedite the publication of articles , AJHP is posting manuscripts online as soon as possible after acceptance. Accepted manuscripts have been peer-reviewed and copyedited, but are posted online before technical formatting and author proofing. These manuscripts are not the final version of record and will be replaced with the final article (formatted per AJHP style and proofed by the authors) at a later time.",0,0,0,0,,,,,,,,,,,
3,34742275,"The utilization of simulated patients for teaching and learning in the pharmacy curriculum: exploring pharmacy students' and recent alumni's perceptions using mixed-methods approach. BACKGROUND The use of simulated patients (SPs) is considered a significant resource for teaching and assessing clinical and communication skills in health professional education. We conducted this study to explore pharmacy students' perspective towards the utilization of SPs in Qatar and to identify areas that require improvement. METHODS An explanatory sequential mixed-methods design was used among students and recent graduates of the College of Pharmacy at Qatar University (QU-CPH). First, their perspectives toward the current utilization of SPs at QU-CPH was explored using a quantitative cross-sectional study design. Following this, we conducted six focus group discussions based on the analysis of the questionnaire results. The findings of the two phases were interpreted through integration of the quantitative and qualitative phases. RESULTS The majority of the participants (> 90%) reported that interactions with SPs are important in building good communication and counseling skills during professional skills course activities. Similarly, most of the respondents (80%) indicated that interactions with SPs prepared them to apply the clinical skills gained during professional skills and patient assessment sessions in real-life. In addition, they reported that interactions with SPs during competency-based assessments were good experiences. The participants disagreed with the notion that interaction with SPs of opposite gender was uncomfortable for them. Themes identified from the focus groups include: interactions with trained SPs compared to faculty SPs, standardization and consistency of SPs' roles, communication and language barriers, simulations of real-life case scenarios, SPs' competence and preparedness, psychological impact associated with interaction with SPs, proposed strategies for improving the SP program. Identified areas for improvement include the need for strengthening the SP training and orientation program as well as the SP selection criteria. CONCLUSION This study showed a positive impact of the utilization of SPs in this pharmacy curriculum as perceived by students and alumni. However, the SP program needs to be optimized in terms of the training and orientation of SPs.",0,0,0,0,,,,,,,,,,,
4,34742494,"Implementing an Antimicrobial Stewardship Program in the Intensive Care Unit by Engaging Critical Care Nurses.  The continuing rise in the incidence of multidrug-resistant organism infections has made combating this grave threat a national imperative. One of the most potent weapons in our arsenal against such organisms is the prudent use of antibiotics. Antimicrobial stewardship (AMS) programs aim to slow the development of antimicrobial resistance through judicious, monitored use of antibiotics. Traditionally, AMS programs have included pharmacists and physicians with training in AWS, infectious disease physicians, hospital leadership, microbiologists, and infection prevention professionals. Nurses are missing from AMS programs, especially intensive care nurses. Critical care nurses provide the majority of patient care to ICU patients and monitor the progress of the patient's condition. The ICU nurse is an obvious asset to the AMS programs. ICU nurses are well-educated autonomous professionals with a unique role in coordinating with the critical care team. Critical care nurses already perform numerous nursing tasks with AWS functions. This, together with their unique perspective makes them a valuable asset that has often been overlooked. Traditionally, perceived barriers have kept ICU nurses from joining AMS teams. By removing these barriers and engaging critical care nurses in the important work of AWS, we can strengthen our AMS team and achieve optimal outcomes for our patients.",0,0,0,0,,,,,,,,,,,
5,34742654,"Exploration of pharmacist comfort with harm reduction behaviors: Cross-sectional latent class analysis. BACKGROUND Pharmacists are positioned to play important roles in implementing evidence-based prevention and harm reduction approaches for opioid misuse and related health care outcomes such as human immunodeficiency virus (HIV) and hepatitis C. More research is needed to understand how best to facilitate harm reduction practices among pharmacists. OBJECTIVES This hypothesis-generating study investigated (1) whether subgroups (latent classes) were observable among pharmacists based on self-reported comfort with specific harm reduction behaviors, (2) whether having reported expertise in key content areas was associated with any latent classes that might be identified, and (3) whether comfort and training were associated with actually having dispensed syringes for likely nonprescription drug use. METHODS This was a statewide census of community managing pharmacists in Arizona conducted from December 2018 to May 2019. Participants reported their degree of comfort with 10 harm reduction behaviors, their expertise (e.g., recent continuing pharmacy education or specialization) in selected content areas, and their syringe dispensing behavior. Additional sociodemographic information was also collected. Subgroups related to harm reduction were computed using latent class analysis, and associations between study variables were assessed using the Fisher's exact tests. RESULTS Data suggested the existence of 4 latent, comfort-based harm reduction classes: high comfort, moderate comfort, and clinical comfort, and opioid prevention only. Reported expertise in pre-exposure prophylaxis for HIV was likely associated with harm reduction class. However, class membership was not associated with reporting having dispensed nonprescription syringes, although the single comfort item for syringe dispensing, by itself, was associated therewith. CONCLUSION Comfort with harm reduction likely clusters, so pharmacists may be broadly comfortable with topics or methods of harm reduction; however, comfort with a specific harm reduction pharmacy practice may be a better predictor of engaging in that behavior than harm reduction comfort class. In contrast, strategies to improve comfort, such as intervention development, might successfully be informed by pharmacists' latent class.",0,0,0,0,,,,,,,,,,,
6,34743170,"Challenges for Polish Community Pharmacists in Provision of Services to Immigrants and Non-Polish-Speakers in 2018.  BACKGROUND International patient services in community pharmacies are becoming increasingly common. The growing number of immigrants, as well as the developing trend of medical tourism, make it necessary to provide these people with access to healthcare services, including pharmaceutical services in generally accessible pharmacies. Serving non-Polish-speaking patients, however, requires both fluent specialist knowledge of a foreign language and interpersonal skills. These skills can greatly influence the proper use of medications by patients. This study aimed to investigate the reported challenges for Polish community pharmacists in the provision of services to immigrants and non-Polish-speakers in 2018. MATERIAL AND METHODS The study included 98 pharmacists and pharmaceutical technicians from community pharmacies in Poland. The research tool was a questionnaire sent to pharmacy staff in cooperation with pharmacy councils in 2018. RESULTS Analysis of the data gathered using a 5-point Likert scale showed that the participants rated the preparedness for international patient services in pharmacies as medium (mean 2.76±1.33). The mean foreign language knowledge score was 2.99±1.29. The participants indicated a low possibility of acquiring these language skills (mean 2.53±0.91), and emphasized that patients from abroad rarely asked about the use of the medications (mean=2.20±1.06). CONCLUSIONS This study showed that in 2018, pharmacy staff in Poland did not feel adequately prepared to provide comprehensive pharmacy services for immigrants and non-Polish-speakers, with concerns of non-compliance with medications due to poor communication.",0,0,0,0,,,,,,,,,,,
7,34744443,"Pharmacists' Perceptions of Handling Antimicrobial Resistance (AMR): A Case Study in Saudi Arabia. Introduction Saudi Arabia is one of the countries facing the emergence of antimicrobial resistance (AMR). The pharmacist is an important stakeholder in the healthcare system who plays a crucial role in avoiding AMR and implementing antimicrobial stewardship (AMS). Methods A cross-sectional design was used in this study. The online questionnaire collected data regarding the enablers that have helped in preparing pharmacists to handle AMR and the barriers faced by pharmacy personnel in handling AMR, as well as the strategies used to overcome the identified barriers. Results A total of 109 participants were included in the study. Just under two thirds (62.4%) of participants were female and the majority (70.6%) worked as pharmacists. Just under half (41.7%) had between 6 and 10 years of work experience. Three quarters (74.3%) had antimicrobial stewardship in place and around the same number (73.4%) were involved in handling infectious disease management during the COVID-19 pandemic. Pharmacists have found that preparatory items/tasks, pharmacy college curriculum, pharmacy rotation, years of experience and self-education related to AMR handling to be natural, with a mean of 3.2. The participants found all the barriers - insufficient background, in site education and training, limited time, limited CPD activities, limited educational tools and no free access to relevant clinical journals - to be relevant, with a mean of 4.05. The participants found all the enablers - CPD activities, funded educational programs, allowing time for self-education, accessible educational resources and tools, annual evolution of competencies - to be relevant, with a mean of 4.12. Conclusion The study concluded that the barriers preventing the handling of AMR could be overcome through allowing pharmacists more time for self-directed continuous education, providing access to tools and online educational resources, and offering pharmacists funded courses to equip them with the knowledge, skills and competencies needed to handle AMR.",0,0,0,0,,,,,,,,,,,
8,34744736,"Metabolic Activation of the Toxic Natural Products From Herbal and Dietary Supplements Leading to Toxicities.  Currently, herbal and dietary supplements have been widely applied to prevent and treat various diseases. However, the potential toxicities and adverse reactions of herbal and dietary supplements have been increasingly reported, and have gradually attracted widespread attention from clinical pharmacists and physicians. Metabolic activation of specific natural products from herbal and dietary supplements is mediated by hepatic cytochrome P450 or intestinal bacteria, and generates chemical reactive/toxic metabolites that bind to cellular reduced glutathione or macromolecules, and form reactive metabolites-glutathione/protein/DNA adducts, and these protein/DNA adducts can result in toxicities. The present review focuses on the relation between metabolic activation and toxicities of natural products, and provides updated, comprehensive and critical comment on the toxic mechanisms of reactive metabolites. The key inductive role of metabolic activation in toxicity is highlighted, and frequently toxic functional groups of toxic natural products were summarized. The biotransformation of drug cytochrome P450 or intestinal bacteria involved in metabolic activation were clarified, the reactive metabolites-protein adducts were selected as biomarkers for predicting toxicity. And finally, further perspectives between metabolic activation and toxicities of natural products from herbal and dietary supplements are discussed, to provide a reference for the reasonable and safe usage of herbal and dietary supplements.",0,0,0,0,,,,,,,,,,,
9,34745204,"Development and Implementation of In-House Pharmacogenomic Testing Program at a Major Academic Health System.  Pharmacogenomics (PGx) studies how a person's genes affect the response to medications and is quickly becoming a significant part of precision medicine. The clinical application of PGx principles has consistently been cited as a major opportunity for improving therapeutic outcomes. Several recent studies have demonstrated that most individuals (> 90%) harbor PGx variants that would be clinically actionable if prescribed a medication relevant to that gene. In multiple well-conducted studies, the results of PGx testing have been shown to guide therapy choice and dosing modifications which improve treatment efficacy and reduce the incidence of adverse drug reactions (ADRs). Although the value of PGx testing is evident, its successful implementation in a clinical setting presents a number of challenges to molecular diagnostic laboratories, healthcare systems, providers and patients. Different molecular methods can be applied to identify PGx variants and the design of the assay is therefore extremely important. Once the genotyping results are available the biggest technical challenge lies in turning this complex genetic information into phenotypes and actionable recommendations that a busy clinician can effectively utilize to provide better medical care, in a cost-effective, efficient and reliable manner. In this paper we describe a successful and highly collaborative implementation of the PGx testing program at the University of Minnesota and MHealth Fairview Molecular Diagnostic Laboratory and selected Pharmacies and Clinics. We offer detailed descriptions of the necessary components of the pharmacogenomic testing implementation, the development and technical validation of the in-house SNP based multiplex PCR based assay targeting 20 genes and 48 SNPs as well as a separate CYP2D6 copy number assay along with the process of PGx report design, results of the provider and pharmacists usability studies, and the development of the software tool for genotype-phenotype translation and gene-phenotype-drug CPIC-based recommendations. Finally, we outline the process of developing the clinical workflow that connects the providers with the PGx experts within the Molecular Diagnostic Laboratory and the Pharmacy.",0,0,0,0,,,,,,,,,,,
